"bbid","naam","uri","straatnaam","straat_uri","breen","kleinnr","nr1876","tekst"
"BB11","Aardbeziëngang",,"Anjeliersstraat","https://adamlink.nl/geo/street/anjeliersstraat/168","ja","221","9","Aardbeziëngang B: Anjeliersstraat 221   9 Volgens de geschreven lijst in het doorschoten exemplaar van Covens. In 1796: Zeldenrustgang. Thans naamloos.; (BWK); RN53; BA53"
"BB12","Aardegang",,"Paardenstraat","https://adamlink.nl/geo/street/paardenstraat/3439","nee",,,"Aardegang – Paardenstraat BS zie: Lange Aardegang"
"BB13",,,,,,,,"Aardenhofs-/Aardenhoutsgang – Prinsengracht Kw.;TA; MNM zie: Aarnoudsgang"
"BB14","Aarnoudsgang",,"Prinsengracht","https://adamlink.nl/geo/street/prinsengracht/3684","ja","316","363-371","Aarnoudsgang B: Prinsengracht 316   363-371 Thans: Oude Noldersgang.; W; B H&L Kf: 2 (1670, 1709); WV: 1 (1675); Kw.: 19 (1680-1785); B W Kf: 1 (1691); TA: 21 (1675-1808); MNM: 8 (1763-1806); K1805; BS: G 16, O 28, Ov 3 (1813-1851); RN53; BA53; RN75; Tram25; AS30; SvA35; AAA38/39"
"BB15","Aarnoudspoort",,"Prinsengracht","https://adamlink.nl/geo/street/prinsengracht/3684","nee",,,"Aarnoudspoort – Prinsengracht MNM (1794) zie: Aarnoudsgang"
"BB16","Aartengang",,"Paardenstraat","https://adamlink.nl/geo/street/paardenstraat/3439","nee",,,"Aartengang – Paardenstraat Kw. Zie: Lange Aardegang"
"BB17","Aartsgang",,"Reguliersbreestraat","https://adamlink.nl/geo/street/reguliersbreestraat/3761","nee",,,"Aartsgang – Reguliersbreestraat Kw.; TA zie: Manke Naatjesgang"
"BB18","Gang van Abel Rogiers",,"Rozenstraat Nz","https://adamlink.nl/geo/street/rozenstraat/3901","nee",,,"Gang van Abel Rogiers – Rozenstraat Nz TA"
"BB19",,,,,,,,"Abraham Bomensteeg WV zie: Boomsteeg – Kromboomsloot"
"BB20","Abrahams Offerande",,"Bloemstraat","https://adamlink.nl/geo/street/bloemstraat/504","nee",,,"Abrahams Offerande - Bloemstraat TA 1626-06-05 zie: Bloemstraat Zz - Gang, 1686-06-26 zie: Naaldenmakersgang"
"BB21","Gang",,"Abrahams Offerande",,"nee",,,"Abrahams Offerande – Bloemstraat – Gang B W Kf: 1 (1690-12-20)"
"BB22","Abrahams-Offerandesgang",,"Bloemstraat","https://adamlink.nl/geo/street/bloemstraat/504","ja","111","-","Abrahams-Offerandesgang B: Bloemstraat 111   -   vervallen.; (Kw.; TA zie: Naaldenmakersgang); K1805; (L)"
"BB23","Abrahams Offerandessteegje",,"Schans","https://adamlink.nl/geo/street/schans/6969","nee",,,"Abrahams Offerandessteegje – Schans B H&L Kf: 1 (1655-10-14)"
"BB24",,,,,,,,"Gang van Abraham van [Scoolen] – Nes WV: 1 (1637-01-26)"
"BB25","Meester Abrahamssteegje",,"Singel","https://adamlink.nl/geo/street/singel/4088","nee",,,"Meester Abrahamssteegje – Singel B KL: 1 (1666-10-10)"
"BB26","Slopje/Slopsteegje",,"Achterburgwal","https://adamlink.nl/geo/street/oudezijds-achterburgwal/3406","nee",,,"Achterburgwal – Slopje/Slopsteegje Kw.: 1 (1603-04-05)"
"BB27","Naamlooze Gang",,"Achterburgwal (N.Z.)","https://adamlink.nl/geo/street/spuistraat/4276","ja","411","-","Achterburgwal (N.Z.) B: Naamlooze Gang 411   -   vervallen."
"BB28",,,,,,,,"Achter de Kalkton WV"
"BB29",,,,,,,,"Achter de Kampertoren BWK zie: Lindebomengang – Anjeliersstraat; MNM zie: Kampertorensgang – Anjeliersstraat"
"BB30","Achterdwarsstraat",,"Lastage",,"nee",,,"Achterdwarsstraat - Lastage TA: 1 (\"Een erve getekent met No. 26 gelegen opde lastagie Jnde achter dwersstraet ...1600-12-12\")"
"BB31",,,,,,,,"Achtergracht of Lijnbaansgracht TA 1715-08-22 zie: Wijdegang - Marken"
"BB32","Naamlooze Gangen",,"Achtergracht","https://adamlink.nl/geo/street/achtergracht/38","ja","18","-","Achtergracht B: Naamlooze Gangen 18   -   vervallen.; (68)   -   vervallen."
"BB33","Achtergracht",,,,"nee",,,"Achtergracht – Gangen RN53; BA53"
"BB34","Achtergracht",,"Gangen RN75",,"nee",,,"Achtergracht - Gangen RN75 zie: Falckstraat"
"BB35","Naamlooze Gangen",,"Achtergracht (Nieuwe)","https://adamlink.nl/geo/street/nieuwe-achtergracht/3136","ja","18","50-52","Achtergracht (Nieuwe) B: Naamlooze Gangen 18   50-52; (38/39)   106; 44   -   vervallen."
"BB36",,,,,,,,"Achterhoutmarktstraat TA zie: Rapenburg - Straatje"
"BB37",,,,,,,,"Achterom Kw.; TA zie: Blindemansdwarsstraat, Bloemgracht, Uilenburg."
"BB38","Naamlooze Gang",,"Achterpad","https://adamlink.nl/geo/street/oetgensachterpad/5755","ja","-","7","Achterpad  B: Naamlooze Gang -   7"
"BB39","Achterpad",,,,"nee",,,"Achterpad – Gang RN75"
"BB40",,,,,,,,"Achterpoort BWK zie: Suikerbakkerssteeg – Nieuwezijds Voorburgwal"
"BB41","Achterslopje",,"Kromme Tuinstraat","https://adamlink.nl/geo/street/kromme-tuynstraat/5647","nee",,,"Achterslopje – Tuinstraat, Kromme TA"
"BB42",,,,,,,,"Achterste Klooster MNM: 1 (1790)"
"BB43",,,,,,,,"Achtersteegje of -gang Kw. zie: Wijdegang – Binnen Vissersstraat"
"BB44","Achtkante-Stovengang","https://adamlink.nl/geo/street/achtkantenstovengang/41","Anjeliersstraat","https://adamlink.nl/geo/street/anjeliersstraat/168","ja","173","105","Achtkante-Stovengang B: Anjeliersstraat 173   105; BWK; WV: 1 (1721); Kw.: 1 (1802); TA: 2 (1768, 1781); K1805; BS: O 2 (1812-1814); RN53; BA53; BR; RN75; L; Tram25; AS30; SvA35"
"BB45","Achtslotengang",,"Tuinstraat","https://adamlink.nl/geo/street/tuinstraat/4527","nee",,,"Achtslotengang – Tuinstraat BS zie: Nachtslotsgang"
"BB46","Acht Stovengang",,"Anjeliersstraat","https://adamlink.nl/geo/street/anjeliersstraat/168","nee",,,"Acht Stovengang – Anjeliersstraat BS zie: Achtkante Stovengang"
"BB47","Adam-en-Eva’sgang",,"2e Looiersdwarsstraat","https://adamlink.nl/geo/street/tweede-looiersdwarsstraat/4566","ja","43","-","Adam-en-Eva’sgang B: 2e Looiersdwarsstraat 43   -   vervallen.; BWK; WV: 3 (1680, 1682); Kw.: 2 (1724, 1749); B W Kf: 4 (1693-1762); B Wk: 1 (1750); TA: 18 (1708-1810); MNM: 10 (1769-1806); K1805; BS: O 9, Ov 7 (1811-1829)"
"BB48","Dwarsgang",,"Adam en Eva’sgang",,"nee",,,"Adam en Eva’sgang – 2e Looiersdwarsstraat – Dwarsgang TA: 3 (1744-06-10, 1765-12-31, 1773-03-09)"
"BB49",,,,,,,,"Adamshofje TA zie: Kwakersdwarspad"
"BB50","Admiraalsgang",,,,"nee",,,"Admiraalsgang – Foeliedwarsstraat BR zie: Admiraliteitsgang"
"BB51","Deense Admiraalsgang",,"Foeliedwarsstraat","https://adamlink.nl/geo/street/foeliedwarsstraat/1348","nee",,,"Deense Admiraalsgang – Foeliedwarsstraat Kw."
"BB52","Admiraalshof",,"Prinsengracht","https://adamlink.nl/geo/street/prinsengracht/3684","nee",,,"Admiraalshof – Prinsengracht Kw.; TA zie: Kalvergang – Prinsengracht (257/258)"
"BB53","Admiraliteitsgang",,"Foeliedwarsstraat","https://adamlink.nl/geo/street/foeliedwarsstraat/1348","ja","13","28","Admiraliteitsgang B: Foeliedwarsstraat 13   28 Thans naamloos.; TA: 1 (1762); BS: O 1 (1836); RN53; BA53; BR Admiraalsgang U 362; L"
"BB54","Admiraliteitshof",,"Prinsengracht","https://adamlink.nl/geo/street/prinsengracht/3684","nee",,,"Admiraliteitshof – Prinsengracht Kw. Zie: Kalvergang (257/258)"
"BB55","Admiraliteitspoort",,"Kattenburg",,"nee",,,"Admiraliteitspoort – Kattenburg B K Kf: 1 (1664)"
"BB56","Ael Jansengang",,"Herengracht Oz","https://adamlink.nl/geo/street/herengracht/1768","nee",,,"Ael Jansengang – Herengracht Oz TA zie: Aal Jansengang"
"BB57","Aerdenhoutsgang",,"Prinsengracht","https://adamlink.nl/geo/street/prinsengracht/3684","nee",,,"Aerdenhoutsgang – Prinsengracht B H&L Kf zie: Aarnoudsgang"
"BB58",,,,,,,,"Aextersgang of –steegje – Binnen Vissersstraat Kw. zie: Aakstersgang of –steegje"
"BB59","Agnietengang",,"Elandsstraat","https://adamlink.nl/geo/street/elandsstraat/1232","nee",,,"Agnietengang – Elandsstraat BS: Ov 5 (O14/5/174, O14/6/101, O15/5/82v, G16/6/184, O17/5/158)"
"BB60",,,,,,,,"Akeleisteegje Kw. Zie: Bethlehemssteeg – Sint Annendwarsstraat"
"BB61",,,,,,,,"Akersloot TA zie: Nieuwezijds Achterburgwal – Slopsteegje"
"BB62","Akerslootsgang",,"Goudsbloemgracht","https://adamlink.nl/geo/street/willemsstraat/5074","ja","56/57","-","Akerslootsgang B: Goudsbloemgracht 56/57   -   vervallen.; BWK; B K Kf: 3 (1655); Kw.: 5 (1725-1789); TA: 13 (1675-1809): MNM: 3 (1780-1793); K1805; BS: O 3 (1812-1831); RN53"
"BB63",,,,,,,,"Akersteegje B K Kf: 1 (1609-03-15)"
"BB64","Akkermansgang",,,,"nee",,,"Akkermansgang – Joden Houttuinen B; BA53 zie: Ankermansgang"
"BB65","Naamlooze Gang",,"Akkolijenstraat","https://adamlink.nl/geo/street/akoleienstraat/87","ja","8","-","Akkolijenstraat B: Naamlooze Gang 8   -   vervallen."
"BB66","Hofje",,"Akoleienstraat","https://adamlink.nl/geo/street/akoleienstraat/87","nee",,,"Akoleienstraat – Hofje MNM: 1 (1790-05-31)"
"BB67","Albanezenhofje",,"Lijnbaansgracht","https://adamlink.nl/geo/street/lijnbaansgracht/2698","nee",,,"Albanezenhofje – Lijnbaansgracht BS: O 1 (O52/3/33)"
"BB68","Albert Kunstengang",,"Goudsbloemgracht","https://adamlink.nl/geo/street/willemsstraat/5074","nee",,,"Albert Kunstengang – Goudsbloemgracht Kw.: 4 (1662-05-02, 1662-05-09, 1728-03-19, 1729-01-20); TA: 6 (1651-06-16, 1683-01-05, 1708-11-29, 1722-04-02, 1726-09-13, 1736-05-15)"
"BB69","Albertsgang",,"Brouwersgracht","https://adamlink.nl/geo/street/brouwersgracht/623","nee",,,"Albertsgang – Brouwersgracht Kw.; BS zie: Do(o)ve Albertsgang"
"BB70","Alengang",,"Tichelstraat","https://adamlink.nl/geo/street/tichelstraat/4447","ja","56","-","Alengang B: Tichelstraat 56   -   vervallen.; K1805"
"BB71","Alkmaardergang",,"Oude Looiersstraat","https://adamlink.nl/geo/street/oude-looiersstraat/3387","ja","41","80-86","Alkmaardergang B: Oude Looiersstraat 41   80-86; BWK; TA: 9 (1738-1810); MNM: 2 (1792, 1796); K1805; BS: G 1, O 9, Ov 4 (1813-1851); RN53; BA53; RN75; L; H; Tram25; AS30; SvA35"
"BB72","Amandel(s)hofje",,"Elandsstraat","https://adamlink.nl/geo/street/elandsstraat/1232","nee",,,"Amandel(s)hofje – Elandsstraat BS: O 1 (O50/4/27), Ov 1 (O50/4/106)"
"BB73","Ameterssteeg",,"Singel","https://adamlink.nl/geo/street/singel/4088","nee",,,"Ameterssteeg – Singel BS zie: Hametersgang of –steeg"
"BB74","SlopsteegjeSteegje",,"Amstel","https://adamlink.nl/geo/street/amstel/135","nee",,,"Amstel – Bakhuis/Bakstraat – SlopsteegjeSteegje WV: 2 (1611-01-15, 1631-01-20)"
"BB75","Gang",,"Amstel","https://adamlink.nl/geo/street/amstel/135","nee",,,"Amstel – Gang Kw.: 2 (1611-05-14)"
"BB76","Naamlooze Gangen",,"Amstel","https://adamlink.nl/geo/street/amstel/135","ja","10","322-324","Amstel B: Naamlooze Gangen 10   322-324; 19   -   vervallen.; (163/164)   39   vervallen.; (206/207)   -   vervallen.; -   111-113   vervallen.; -   119-121   vervallen."
"BB77","Amstel",,,,"nee",,,"Amstel – Gangen RN53; BA53; RN75"
"BB78","Gang",,"Amstel","https://adamlink.nl/geo/street/amstel/135","nee",,,"Amstel – de huizen van Jan de Engelsman – Gang WV: 1 (1642-01-18)"
"BB79","Steegje",,"Amstel","https://adamlink.nl/geo/street/amstel/135","nee",,,"Amstel – Steegje Kw.: 1 (1612-01-27)"
"BB80","Uitgang",,"Amstel","https://adamlink.nl/geo/street/amstel/135","nee",,,"Amstel – Uitgang TA: 1 (1736-03-16)"
"BB81","Gang",,"Amstelstraat","https://adamlink.nl/geo/street/amstelstraat/144","nee",,,"Amstelstraat – Gang Kw.: 1 (1732-01-17); TA: 2 (1667-01-21); MNM: 1 (1783-09-15)"
"BB82","Gangen",,"Amstelstraat","https://adamlink.nl/geo/street/amstelstraat/144","nee",,,"Amstelstraat – Gangen K1805; RN53; BA53"
"BB83","Steeg",,"Amstelstraat","https://adamlink.nl/geo/street/amstelstraat/144","nee",,,"Amstelstraat - Steeg TA zie: Nieuwe Regulierspoort - Vesten - Steeg"
"BB84","Steegje",,"Amstelstraat","https://adamlink.nl/geo/street/amstelstraat/144","nee",,,"Amstelstraat – (Nieuw) Steegje WV: 1 (1613-01-12)"
"BB85","Naamlooze Gangen",,"Amstelstraat (Nieuwe)","https://adamlink.nl/geo/street/nieuwe-amstelstraat/3138","ja","-","43","Amstelstraat (Nieuwe) B: Naamlooze Gangen -   43   vervallen.; 13   -   vervallen.; 19   -   vervallen. 31   -   vervallen."
"BB86","Gang",,"Amstelveen",,"nee",,,"Amstelveen – Boomstraat – Gang TA: 1 (1691-02-14)"
"BB87","Amstelveengang",,"Rozengracht","https://adamlink.nl/geo/street/rozengracht/3899","nee",,,"Amstelveengang – Rozengracht B W Kf: 1 (1690-06-04)"
"BB88","Amstelveenschegang",,"Boomstraat","https://adamlink.nl/geo/street/boomstraat/543","ja","69","-","Amstelveenschegang B: Boomstraat 69   -   vervallen.; TA: 2 (1755, 1809); K1805; (L)"
"BB89","Naamlooze Gang",,"Amstelveld","https://adamlink.nl/geo/street/amstelveld/146","ja","1","3","Amstelveld B: Naamlooze Gang 1   3"
"BB90","Amstelveld",,,,"nee",,,"Amstelveld – Gang RN53; BA53; RN75"
"BB91","Amsterdamschegang","https://adamlink.nl/geo/street/amsterdamsche-hofje/7037","Kerkstraat","https://adamlink.nl/geo/street/kerkstraat/2355","ja","-","266-270","Amsterdamschegang B: Kerkstraat -   266-270; (BWK); TA: 1 (1788); MNM: 1 (1788); BS: G 1, O 13 (1819-1842); RN53; BA53; BR; RN75; Tram25; AS30; SvA35"
"BB92","Amsterdamschegang","https://adamlink.nl/geo/street/smidsgang/6838","Rozenstraat","https://adamlink.nl/geo/street/rozenstraat/3901","ja","159/160","71-73","Amsterdamschegang B: Rozenstraat 159/160   71-73 Thans: Smidsgang; WV: 1 (1670); Kw.: 5 (1700-1787); MNM: 1 (1798); BS: G 1, O 3, Ov 1 (1813-1848); RN53; RN75; L; H; Tram25; AS30; SvA35"
"BB93","Amsterdamse Hofje",,,,"nee",,,"Amsterdamse Hofje – Kerkstraat L zie: Amsterdamschegang"
"BB94","Andrieshofje",,,,"nee",,,"Andrieshofje – Egelantiersgracht RN53; SvA35"
"BB95","Sint Andrieshofje",,"Anjeliersgracht","https://adamlink.nl/geo/street/westerstraat/4964","nee",,,"Sint Andrieshofje – Anjeliersgracht MNM; BA53"
"BB96","Angelmansgang",,"Joden Houttuinen","https://adamlink.nl/geo/street/joden-houttuinen/2157","nee",,,"Angelmansgang – Joden Houttuinen BS zie: Ankermansgang"
"BB97","Angenietengang",,,,"nee",,,"Angenietengang – Elandsstraat zie: Agnietengang"
"BB98",,,,,,,,"Anjeliersdwarsstraat TA 1617-05-24 zie: Spaans Leger - Steegje"
"BB99",,,,,,,,"1e Anjeliersdwarsstraat B: Naamlooze Gang 29   11-15"
"BB100","Gang",,"Eerste Anjeliersdwarsstraat","https://adamlink.nl/geo/street/eerste-anjeliersdwarsstraat/1166","nee",,,"Eerste Anjeliersdwarsstraat - Gang MNM: 1 (1782-05-06)"
"BB101","Eerste Anjeliersdwarsstraat",,,,"nee",,,"Eerste Anjeliersdwarsstraat – Gangen  RN53; BA53; RN75"
"BB102","Gang",,"Tweede Anjeliersdwarsstraat","https://adamlink.nl/geo/street/tweede-anjeliersdwarsstraat/4542","nee",,,"Tweede Anjeliersdwarsstraat – Gang Kw. zie: Jan Hansengang"
"BB103","Tweede Anjeliersdwarsstraat",,,,"nee",,,"Tweede Anjeliersdwarsstraat – Gangen BA53"
"BB104","Anjeliersgracht",,"Baanpad",,"nee",,,"Anjeliersgracht - Baanpad - Gang TA: 1 (\"een Erffue gelegen op de Angeliers gracht ... met een huys ende Coocken daer op staen(de), ende een gang van vier voeten breet, aen de oostzijde van desen huyse gelegen, nu uytcomende opt Baenpadt, welcke gang desen huyse voor de helffte toecomende Js ... Streckende voor van de straet van de Angeliers grafft, tot achter Baenpadt toe ... 1619-07-23\")"
"BB105","Anjeliersgracht",,"Beschuitbakkerij",,"nee",,,"Anjeliersgracht - Beschuitbakkerij - Uit- en Ingang TA: 1 (1645-01-  )"
"BB106","Naamlooze Gangen",,"Anjeliersgracht","https://adamlink.nl/geo/street/westerstraat/4964","ja","6","12","Anjeliersgracht B: Naamlooze Gangen 6   12; 31   -   vervallen.; 75   -   vervallen.; -   93; 151   185; 169   -   vervallen."
"BB107","Gangen",,"Anjeliersgracht","https://adamlink.nl/geo/street/westerstraat/4964","nee",,,"Anjeliersgracht – Gangen K1805; RN53; BA53; BR; RN75"
"BB108","Anjeliersgracht Nz – Gang WV: 3 (1643-02-05, 1681-01-13, 1681-01-14); Kw.: 2 (1679-09-19, 1681-07-05); TA : 15 (\"een erve ... met twee woningen bezyde malcanderen daer op staende onder een dack, met een ganck van omtrent vier voeten breet daer Jn begrepen",,,,"nee",,,"Anjeliersgracht Nz – Gang WV: 3 (1643-02-05, 1681-01-13, 1681-01-14); Kw.: 2 (1679-09-19, 1681-07-05); TA : 15 (\"een erve ... met twee woningen bezyde malcanderen daer op staende onder een dack, met een ganck van omtrent vier voeten breet daer Jn begrepen, aende oostzyde vande voorss twee woningen gelegen aen de noortzyde vande Angeliers gracht ... 1621-08-24\" - 1809-12-15); MNM: 2 (1776-09-30, 1803-05-23)"
"BB109","Anjeliersgracht Zz – Gang TA: 8 (1628-02-19",,,,"nee",,,"Anjeliersgracht Zz – Gang TA: 8 (1628-02-19 - 1802-09-01)"
"BB110","Gang",,"Anjeliersgracht","https://adamlink.nl/geo/street/westerstraat/4964","nee",,,"Anjeliersgracht bij Tichelstraat – Gang Kw.: 1 (1681-06-28)"
"BB111","Gang",,"Anjeliersgracht Zz","https://adamlink.nl/geo/street/westerstraat/4964","nee",,,"Anjeliersgracht Zz hoek Korte Tuinstraat – Gang WV: 1 (1686-02-18)"
"BB112","Gang",,"Anjeliersgracht","https://adamlink.nl/geo/street/westerstraat/4964","nee",,,"Anjeliersgracht Zz tussen Prinengracht en Eerste Dwarsstraat – Gang WV: 1 1681-01-13)"
"BB113","Gang",,"Anjeliersgracht","https://adamlink.nl/geo/street/westerstraat/4964","nee",,,"Anjeliersgracht Zz tussen Prinsengracht en Violettenstraat – Gang Kw.: 1 (1726-11-26)"
"BB114","Gangetje",,"Anjeliersgracht","https://adamlink.nl/geo/street/westerstraat/4964","nee",,,"Anjeliersgracht – Gangetje TA: 1 (1647-06-13)"
"BB115","Gemene Gang",,"Anjeliersgracht","https://adamlink.nl/geo/street/westerstraat/4964","nee",,,"Anjeliersgracht - Gemene Gang TA: 2 (1633-01-16, 1718-10-19)"
"BB116","Gemene Gang",,"Anjeliersgracht Zz","https://adamlink.nl/geo/street/westerstraat/4964","nee",,,"Anjeliersgracht Zz - Gemene Gang TA: 1 (\"Aris Claesz Biscuytbacker een huys ende erve staende op de Zuytzyde vande Angeliers grafft belendt Aris Jansz van wieringen met een gemene gangh aende oostzyde ... 1628-02-19\")"
"BB117","Anjeliersgracht Zz",,"Laatste Steeg",,"nee",,,"Anjeliersgracht Zz  – Laatste Steeg Kw.: 1 (1802-12-08); MNM: 1 (1781-07-16)"
"BB118","Anjeliershofje",,"Anjeliersstraat","https://adamlink.nl/geo/street/anjeliersstraat/168","ja","-","138-140","Anjeliershofje B: Anjeliersstraat -   138-140; Kw.: 10 (1651-1800); B K Kf: 3 (1655); TA: 10 (1656- \"een huijs ende erve staende ende leggende inde angelierstraet opt angeliers hoff ... 1689-02-16\" -1756); BS: O 1 (1833); RN53; BA53; RN75; L; Tram25; AS30; SvA; AAA38/39"
"BB119",,,,,,,,"Anjeliersstraat eertijds Het Spaans Leger TA 1619-07-12"
"BB120","Dwarsgang",,"Anjeliersstraat Nz","https://adamlink.nl/geo/street/anjeliersstraat/168","nee",,,"Anjeliersstraat Nz – Dwarsgang WV23 zie: Gangetje"
"BB121","Gang",,"Anjeliersstraat","https://adamlink.nl/geo/street/anjeliersstraat/168","nee",,,"Anjeliersstraat – Gang Kw.: 1 (1659-01-16); TA: 1 (\"een erve mettet getimmert daerop staen(de) & gelegen Jnde Angeliers straet een ganck integaen ... 1626-06-06\")"
"BB122","Gang",,"Anjeliersstraat","https://adamlink.nl/geo/street/anjeliersstraat/168","nee",,,"Anjeliersstraat over de (Oude) Stadstuin - Gang TA: 1 (\"Een Huijs en Erf en Een Erf daer achter staende en leggende in de angeliers straet over de Oude Stads thuijn belent en streckende, en met een gang in te gaen ... 1684-11-13\")"
"BB123","Naamlooze Gangen",,"Anjeliersstraat","https://adamlink.nl/geo/street/anjeliersstraat/168","ja","-","38","Anjeliersstraat B: Naamlooze Gangen -   38; 218   -   vervallen.; 216   -   vervallen.; 172   -   vervallen."
"BB124","Eerste Gang",,"Anjeliersstraat","https://adamlink.nl/geo/street/anjeliersstraat/168","nee",,,"Anjeliersstraat voorbij  Tweede Dwarsstraat – Eerste Gang B H&L Kf: 1 (1726-05-20)"
"BB125","Gang",,"Anjeliersstraat Nz","https://adamlink.nl/geo/street/anjeliersstraat/168","nee",,,"Anjeliersstraat Nz – Gang WV: 1 (1642-01-28); Kw.: 3 (1680-06-18, 1735-05-24, 1765-12-05); TA: 1 (1734-12-01); MNM: 2 (1803-01-17, 1803-05-23)"
"BB126","Gang over de Stadstuin",,"Anjeliersstraat Nz","https://adamlink.nl/geo/street/anjeliersstraat/168","nee",,,"Anjeliersstraat Nz - Gang over de Stadstuin TA: 1 (\"Herman Jansz Stoeldraijer, een huijs & Erve, staende Jnde angeliers straet, aende Noordtsyde, tegen over de Stadtsthuijn, Belent de gangh vande achterhuijsen aende oostsyde, & de gang die tusschen Gerrit Gerritsz & het achterhuijs van dit huijs gemeen is aende Noordtsijde ... 1653-11-05\")"
"BB127","Gang",,"Anjeliersstraat Zz","https://adamlink.nl/geo/street/anjeliersstraat/168","nee",,,"Anjeliersstraat Zz – Gang  Kw.: 1 (1681-12-16)"
"BB128","Gangen",,"Anjeliersstraat","https://adamlink.nl/geo/street/anjeliersstraat/168","nee",,,"Anjeliersstraat – Gangen K1805"
"BB129","Anjeliersstraat",,,,"nee",,,"Anjeliersstraat – Gangen RN53; BA53"
"BB130","Gangetje",,"Anjeliersstraat Nz","https://adamlink.nl/geo/street/anjeliersstraat/168","nee",,,"Anjeliersstraat Nz  – Gangetje WV: 2 (1641-01-22, 1645-01-14)"
"BB131","Gemene Gang",,"Anjeliersstraat","https://adamlink.nl/geo/street/anjeliersstraat/168","nee",,,"Anjeliersstraat - Gemene Gang TA: 1 verkoper: Pietersz, Rem Anjeliersstraat [Id.] Woninge en erf, in een gang 16-09-1643 (\"een Wooninge & Erve get(eken)t met No 10 staende in een gemeene Gangh ... streckende voor van(de) gangh tot achter aen d' Erffgenaemen Van Rem Pietersz ... 1643-09-16\")"
"BB132","Gemene Gang",,"Anjeliersstraat Nz","https://adamlink.nl/geo/street/anjeliersstraat/168","nee",,,"Anjeliersstraat Nz - Gemene Gang TA: 1 (\"een achter Huijsgen & Erve, staende & gelegen inde Angeliers straet Aende Noort Zijde in een gemeene gang in te gaen ... 1642-04-07\"); WV: 1 (1674-01-17)"
"BB133","Gemene Gang",,"Anjeliersstraat Zz","https://adamlink.nl/geo/street/anjeliersstraat/168","nee",,,"Anjeliersstraat Zz - Gemene Gang Kw.: 1 (1724-11-07)"
"BB134","Gemene Gang",,"Anjeliersstraat","https://adamlink.nl/geo/street/anjeliersstraat/168","nee",,,"Anjeliersstraat over de Batavier – Gemene Gang WV: 1 (1640-01-11)"
"BB135","Gemene Gang",,"Anjeliersstraat","https://adamlink.nl/geo/street/anjeliersstraat/168","nee",,,"Anjeliersstraat over de Ratelwachtssteeg – Gemene Gang Kw.: 1 (1693-02-27)"
